District,Year,Rainfall
BENGALURU URBAN,2001,632.8
BENGALURU URBAN,2002,491
BENGALURU URBAN,2003,559.1
BENGALURU URBAN,2004,621.8
BENGALURU URBAN,2005,954
BENGALURU URBAN,2006,573.3
BENGALURU URBAN,2007,863.7
BENGALURU URBAN,2008,731.7
BENGALURU URBAN,2009,824
BENGALURU URBAN,2010,743.5
BENGALURU URBAN,2011,657.9
BENGALURU URBAN,2012,544.6
BENGALURU URBAN,2013,754.6
BENGALURU URBAN,2014,840.7
BIDAR,1997,725.1
BIDAR,1998,691.6
BIDAR,1999,470.4
BIDAR,2000,541.2
BIDAR,2001,495.5
BIDAR,2002,351.5
BIDAR,2003,354.8
BIDAR,2004,400.7
BIDAR,2005,604.7
BIDAR,2006,383.4
BIDAR,2007,506.4
BIDAR,2008,434.9
BIDAR,2009,654.7
BIDAR,2010,602.3
BIDAR,2011,445.2
BIDAR,2012,384.4
BIDAR,2013,536.6
BIDAR,2014,512.4
BIJAPUR,1997,725.1
BIJAPUR,1998,691.6
BIJAPUR,1999,470.4
BIJAPUR,2000,541.2
BIJAPUR,2001,495.5
BIJAPUR,2002,351.5
BIJAPUR,2003,354.8
BIJAPUR,2004,400.7
BIJAPUR,2005,604.7
BIJAPUR,2006,383.4
BIJAPUR,2007,506.4
BIJAPUR,2008,434.9
BIJAPUR,2009,654.7
BIJAPUR,2010,602.3
BIJAPUR,2011,445.2
BIJAPUR,2012,384.4
BIJAPUR,2013,536.6
BIJAPUR,2014,512.4
CHAMARAJANAGAR,1998,808.6
CHAMARAJANAGAR,1999,808.3
CHAMARAJANAGAR,2000,890.8
CHAMARAJANAGAR,2001,632.8
CHAMARAJANAGAR,2002,491
CHAMARAJANAGAR,2003,559.1
CHAMARAJANAGAR,2004,621.8
CHAMARAJANAGAR,2005,954
CHAMARAJANAGAR,2006,573.3
CHAMARAJANAGAR,2007,863.7
CHAMARAJANAGAR,2008,731.7
CHAMARAJANAGAR,2009,824
CHAMARAJANAGAR,2010,743.5
CHAMARAJANAGAR,2011,657.9
CHAMARAJANAGAR,2012,544.6
CHAMARAJANAGAR,2013,754.6
CHAMARAJANAGAR,2014,840.7
CHIKBALLAPUR,2007,863.7
CHIKBALLAPUR,2008,731.7
CHIKBALLAPUR,2009,824
CHIKBALLAPUR,2010,743.5
CHIKBALLAPUR,2011,657.9
CHIKBALLAPUR,2012,544.6
CHIKBALLAPUR,2013,754.6
CHIKBALLAPUR,2014,840.7
CHIKMAGALUR,1997,741.3
CHIKMAGALUR,1998,808.6
CHIKMAGALUR,1999,808.3
CHIKMAGALUR,2000,890.8
CHIKMAGALUR,2001,632.8
CHIKMAGALUR,2002,491
CHIKMAGALUR,2003,559.1
CHIKMAGALUR,2004,621.8
CHIKMAGALUR,2005,954
CHIKMAGALUR,2006,573.3
CHIKMAGALUR,2007,863.7
CHIKMAGALUR,2008,731.7
CHIKMAGALUR,2009,824
CHIKMAGALUR,2010,743.5
CHIKMAGALUR,2011,657.9
CHIKMAGALUR,2012,544.6
CHIKMAGALUR,2013,754.6
CHIKMAGALUR,2014,840.7
CHITRADURGA,1997,741.3
CHITRADURGA,1998,808.6
CHITRADURGA,1999,808.3
CHITRADURGA,2000,890.8
CHITRADURGA,2001,632.8
CHITRADURGA,2002,491
CHITRADURGA,2003,559.1
CHITRADURGA,2004,621.8
CHITRADURGA,2005,954
